"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"det.tra.v[12,4]",0.1,0.02,0.07,0.08,0.1,0.13,0.15,1,9218
"det.tra.v[13,4]",0.09,0.02,0.06,0.07,0.09,0.12,0.13,1,10040
"det.tra.v[14,4]",0.08,0.01,0.05,0.06,0.08,0.09,0.11,1,13409
"det.tra.t[1,1]",0.22,0.03,0.16,0.18,0.22,0.27,0.29,1,1908
"det.tra.t[2,1]",0.21,0.03,0.16,0.17,0.21,0.25,0.27,1,3570
"det.tra.t[3,1]",0.23,0.03,0.18,0.19,0.23,0.27,0.29,1,4381
"det.tra.t[4,1]",0.3,0.03,0.25,0.26,0.3,0.34,0.36,1,4989
"det.tra.t[5,1]",0.33,0.02,0.29,0.3,0.33,0.36,0.38,1,4944
"det.tra.t[6,1]",0.28,0.02,0.24,0.25,0.28,0.31,0.32,1,3205
"det.tra.t[7,1]",0.34,0.03,0.29,0.31,0.34,0.38,0.39,1,3913
"det.tra.t[8,1]",0.42,0.03,0.36,0.38,0.42,0.46,0.48,1,5728
"det.tra.t[10,1]",0.48,0.05,0.38,0.41,0.48,0.55,0.58,1,7557
"det.tra.t[11,1]",0.51,0.06,0.4,0.43,0.51,0.59,0.63,1,5650
"det.tra.t[12,1]",0.44,0.06,0.33,0.37,0.44,0.52,0.56,1,9040
"det.tra.t[13,1]",0.4,0.05,0.31,0.34,0.4,0.47,0.5,1,9401
"det.tra.t[14,1]",0.44,0.05,0.35,0.38,0.44,0.5,0.54,1,5247
"det.tra.t[1,2]",0.31,0.04,0.24,0.26,0.31,0.36,0.38,1,4629
"det.tra.t[2,2]",0.25,0.03,0.19,0.21,0.25,0.29,0.31,1,7942
"det.tra.t[3,2]",0.25,0.03,0.19,0.21,0.25,0.3,0.33,1,9214
"det.tra.t[4,2]",0.23,0.03,0.17,0.19,0.23,0.27,0.29,1,7682
"det.tra.t[5,2]",0.19,0.03,0.14,0.16,0.19,0.23,0.25,1,7103
"det.tra.t[6,2]",0.3,0.03,0.25,0.27,0.3,0.34,0.36,1,8628
"det.tra.t[7,2]",0.27,0.03,0.22,0.23,0.27,0.3,0.32,1,8540
"det.tra.t[8,2]",0.35,0.03,0.29,0.31,0.35,0.4,0.42,1,8609
"det.tra.t[10,2]",0.48,0.06,0.36,0.4,0.47,0.55,0.6,1,13979
"det.tra.t[11,2]",0.37,0.06,0.25,0.29,0.37,0.45,0.5,1,14374
"det.tra.t[12,2]",0.55,0.06,0.44,0.48,0.55,0.62,0.66,1,14342
"det.tra.t[13,2]",0.34,0.04,0.27,0.29,0.34,0.4,0.43,1,14456
"det.tra.t[14,2]",0.47,0.04,0.39,0.41,0.46,0.52,0.55,1,14311
"det.tra.t[1,3]",0.27,0.03,0.2,0.22,0.27,0.31,0.34,1,5047
"det.tra.t[2,3]",0.19,0.05,0.11,0.13,0.18,0.25,0.29,1,3360
"det.tra.t[3,3]",0.26,0.04,0.19,0.21,0.26,0.32,0.35,1,3638
"det.tra.t[4,3]",0.24,0.04,0.17,0.19,0.24,0.29,0.32,1,5589
"det.tra.t[5,3]",0.27,0.03,0.21,0.23,0.27,0.3,0.33,1,5462
